Watchlist,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday Calender Data,,,,,Stock Market Trading and Investment Quotes,,,Lot Size,,,
"""NSE All Stock"" List",,"""NSE Cash"" List",,"""Nifty Indices"" List",,"""Nifty50""
Stocks List",,"""Futures""
Stocks List",,"""Nifty 500"" List",,"""Nifty 500
Multicap
50:25:25"" List",,"""All ETFs"" List",,"""Gold ETFs"" List",,"""Silver ETFs"" List",,"""My Favourite""
Watchlist-1",,"""My Holdings""
Watchlist-2",,"""Penny Stocks""
Watchlist-3",,Status (2026),Date,Day,Occasion,,Quotation,Author,,Symbol,Jul-26,Aug-26,Sep-26
PKTEA,,FRONTSP,,,,NTPC,,AUROPHARMA,,PAYTM,,HDFCAMC,,MIDCAPETF,,,,,,,,,,HATHWAY,,Close,20/05/24,Monday,General Parliamentary Elections,,Time in the market beats timing the market.,Common investing principle,,CGPOWER,850,850,850
MMTC,,INA,,,,TATASTEEL,,VOLTAS,,HBLENGINE,,RVNL,,AONETOTAL,,,,,,,,,,BCG,,Close,17/06/24,Monday,Bakri Id,,99% of good investing is doing nothing.,Unknown,,CHOLAFIN,625,625,625
ELIN,,DEEPINDS,,,,BEL,,GODREJPROP,,OFSS,,HBLENGINE,,GROWWNXT50,,,,,,,,,,JYOTISTRUC,,Close,17/07/24,Wednesday,Moharram,,The majority of trading errors occur due to a lack of patience.,Unknown,,CIPLA,425,425,425
SBCL,,FIRSTCRY,,,,SBILIFE,,NESTLEIND,,ABREL,,INDIGOPNTS,,NEXT50ETF,,,,,,,,,,SEPC,,Close,15/08/24,Thursday,Independence Day/Parsi New Year,,One day you will thank yourself for learning how to trade.,Unknown,,COALINDIA,1350,1350,1350
OSWALGREEN,,MMTC,,,,ONGC,,TATAELXSI,,ASAHIINDIA,,LALPATHLAB,,NEXT30ADD,,,,,,,,,,GTLINFRA,,Close,02/10/24,Wednesday,Mahatma Gandhi Jayanti,,You can't control the volatility of the markets; you can control the volatility of your actions.,Unknown,,COCHINSHIP,400,400,400
OLAELEC,,OLAELEC,,,,COALINDIA,,HINDUNILVR,,ATHERENERG,,SHRIRAMFIN,,AXISHCETF,,,,,,,,,,SBC,,Close,01/11/24,Friday,Diwali Laxmi Pujan*,,Letting losses run is the most serious mistake made by most investors.,William O'Neil,,COFORGE,475,475,475
DEVIT,,OSWALGREEN,,,,POWERGRID,,MAZDOCK,,TATAINVEST,,EXIDEIND,,HEALTHADD,,,,,,,,,,SUMEETINDS,,Close,15/11/24,Friday,Gurunanak Jayanti,,"Master one trade setup first, perfect it, own it... only then can you add another setup.",Nial Fuller,,COLPAL,275,275,275
DEEPINDS,,BSOFT,,,,HINDALCO,,GMRAIRPORT,,UNITDSPR,,CEATLTD,,ABSLNN50ET,,,,,,,,,,MCLOUD,,Close,25/12/24,Wednesday,Christmas,,"Becoming a successful trader doesn't happen overnight. It takes study, time, and practice.",Nial Fuller,,CONCOR,1250,1250,1250
INA,,GREENLAM,,,,TITAN,,PAGEIND,,LODHA,,ABB,,HEALTHIETF,,,,,,,,,,GREENPOWER,,,,,,,"When you learn to let go of the need to be right, being wrong gradually loses its power to disturb you.",Unknown,,CROMPTON,2150,2150,2150
PROSTARM,,ELIN,,,,,,WAAREEENER,,CEATLTD,,BAJAJHLDNG,,GSEC5IETF,,,,,,,,,,ALLCARGO,,Status (2023),Date,Day,Occasion,,It's going to happen because I'm going to make it happen.,Unknown,,CUMMINSIND,200,200,200
BSOFT,,MINDTECK,,,,,,HYUNDAI,,WOCKPHARMA,,LODHA,,MIDCAP,,,,,,,,,,DCW,,Close,26/01/23,Thursday,Republic Day,,I'll keep reducing my trading size as long as I'm losing.,Unknown,,DABUR,1250,1250,1250
JNKINDIA,,SBCL,,,,,,SONACOMS,,LALPATHLAB,,UNITDSPR,,MID150BEES,,,,,,,,,,STLNETWORK,,Close,07/03/23,Tuesday,Holi,,10 years from now you'll look back and say I'm glad I started trading.,Unknown,,DALBHARAT,325,325,-
VINCOFE,,MASTEK,,,,,,IEX,,RVNL,,BHARATFORG,,GROWWPSE,,,,,,,,,,MOTISONS,,Close,30/03/23,Thursday,Ram Navami,,"As long as a stock is acting right, and the market is right, do not be in a hurry to take profits.",Jesse Livermore,,DELHIVERY,2075,2075,2075
MASTEK,,PROSTARM,,,,,,PRESTIGE,,SHRIRAMFIN,,GESHIP,,GROWWPOWER,,,,,,,,,,DEN,,Close,04/04/23,Tuesday,Mahavir Jayanti,,"If you can’t take a small loss, sooner or later you will take the mother of all losses.",Ed Seykota,,DIVISLAB,100,100,100
FIRSTCRY,,VINCOFE,,,,,,KOTAKBANK,,BATAINDIA,,BATAINDIA,,NIFTY100EW,,,,,,,,,,ESAFSFB,,Close,07/04/23,Friday,Good Friday,,"We're in the business of making mistakes. Winners make small mistakes, losers make big mistakes.",Ned Davis,,DIXON,50,50,50
MINDTECK,,DSSL,,,,,,RADICO,,CLEAN,,SPARC,,HDFCNEXT50,,,,,,,,,,HARDWYN,,Close,14/04/23,Friday,Dr. Baba Saheb Ambedkar Jayanti,,My biggest losses have always followed my largest profits.,Marty Schwartz,,DLF,950,950,950
AERONEU,,JNKINDIA,,,,,,INDUSTOWER,,TRAVELFOOD,,BAJAJ-AUTO,,HDFCMID150,,,,,,,,,,SALASAR,,Close,01/05/23,Monday,Maharashtra Day,,"Don't focus on making money, focus on protecting what you have.",Paul Tudor Jones,,DMART,150,150,150
GREENLAM,,INTLCONV,,,,,,DIXON,,BAJAJHLDNG,,MINDACORP,,EBBETF0430,,,,,,,,,,SYNCOMF,,Close,29/06/23,Thursday,Bakri Id,,"Price action analysis reveals the footprint of smart money. By following it, we gain an edge.",Nial Fuller,,DRREDDY,625,625,625
GUJTHEM,,GUJTHEM,,,,,,CGPOWER,,KAJARIACER,,ADANIENSOL,,MODEFENCE,,,,,,,,,,MIRCELECTR,,Close,15/08/23,Tuesday,Independence Day,,Professional traders understand the power of risk reward and how to apply it to every trade they take.,Nial Fuller,,EICHERMOT,100,100,100
DSSL,,JKPAPER,,,,,,JIOFIN,,MINDACORP,,WELCORP,,BSE500IETF,,,,,,,,,,STEELXIND,,Close,19/09/23,Tuesday,Ganesh Chaturthi,,"Be at one with the charts. Practice your craft, master your craft.",Nial Fuller,,ETERNAL,2425,2425,2425
JKPAPER,,EMKAY,,,,,,PHOENIXLTD,,EXIDEIND,,STARHEALTH,,EVINDIA,,,,,,,,,,DHANBANK,,Close,02/10/23,Monday,Mahatma Gandhi Jayanti,,"Trade what you see, not what you think.",Unknown,,EXIDEIND,1800,-,-
