Watchlist,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday Calender Data,,,,,Stock Market Trading and Investment Quotes,,,Lot Size,,,
"""NSE All Stock"" List",,"""NSE Cash"" List",,"""Nifty Indices"" List",,"""Nifty50""
Stocks List",,"""Futures""
Stocks List",,"""Nifty 500"" List",,"""Nifty 500
Multicap
50:25:25"" List",,"""All ETFs"" List",,"""Gold ETFs"" List",,"""Silver ETFs"" List",,"""My Favourite""
Watchlist-1",,"""My Holdings""
Watchlist-2",,"""Penny Stocks""
Watchlist-3",,Status (2026),Date,Day,Occasion,,Quotation,Author,,Symbol,Jul-26,Aug-26,Sep-26
MADRASFERT,,TVSSRICHAK,,,,,,,,HDBFS,,CREDITACC,,NPBET,,,,,,,,,,,,,,,,,,,,,,,
KPEL,,NIBE,,,,,,,,ELGIEQUIP,,ACC,,SBIETFPB,,,,,,,,,,,,,,,,,,,,,,,
SHAREINDIA,,KPEL,,,,,,,,NHPC,,BPCL,,GOLD360,,,,,,,,,,,,,,,,,,,,,,,
TVSSRICHAK,,SCHNEIDER,,,,,,,,LINDEINDIA,,RITES,,GOLDCASE,,,,,,,,,,,,,,,,,,,,,,,
HIKAL,,KAYA,,,,,,,,AEGISVOPAK,,NAM-INDIA,,HDFCGOLD,,,,,,,,,,,,,,,,,,,,,,,
CHEMCON,,MARSONS,,,,,,,,PINELABS,,LINDEINDIA,,GOLD1,,,,,,,,,,,,,,,,,,,,,,,
BATLIBOI,,VINDHYATEL,,,,,,,,CANHLIFE,,ICICIGI,,UNIONGOLD,,,,,,,,,,,,,,,,,,,,,,,
TARAPUR,,LAXMIINDIA,,,,,,,,UCOBANK,,EIDPARRY,,GOLDBEES,,,,,,,,,,,,,,,,,,,,,,,
MOSERVICE,,VPRPL,,,,,,,,LTM,,DEVYANI,,GROWWGOLD,,,,,,,,,,,,,,,,,,,,,,,
ARTNIRMAN,,NPST,,,,,,,,CIPLA,,YESBANK,,TWCGOLDETF,,,,,,,,,,,,,,,,,,,,,,,
ALLDIGI,,GKENERGY,,,,,,,,SOBHA,,PGHH,,SETFGOLD,,,,,,,,,,,,,,,,,,,,,,,
IGARASHI,,EMMVEE,,,,,,,,NBCC,,ALKYLAMINE,,BANKIETF,,,,,,,,,,,,,,,,,,,,,,,
HISARMETAL,,SHK,,,,,,,,KEI,,CIPLA,,BSLGOLDETF,,,,,,,,,,,,,,,,,,,,,,,
RATNAMANI,,XELPMOC,,,,,,,,NAM-INDIA,,KPIL,,HDFCVALUE,,,,,,,,,,,,,,,,,,,,,,,
PFOCUS,,GUFICBIO,,,,,,,,CUB,,NHPC,,GOLDIETF,,,,,,,,,,,,,,,,,,,,,,,
QUICKHEAL,,ABREL,,,,,,,,JSWSTEEL,,HAPPYFORGE,,BANKBEES,,,,,,,,,,,,,,,,,,,,,,,
NIITLTD,,LALPATHLAB,,,,,,,,SUNTV,,3MINDIA,,EBANKNIFTY,,,,,,,,,,,,,,,,,,,,,,,
NIBE,,IGL,,,,,,,,VTL,,SRF,,SETFNIFBK,,,,,,,,,,,,,,,,,,,,,,,
STEELCAS,,IDEA,,,,,,,,ELECON,,CANFINHOME,,AXISGOLD,,,,,,,,,,,,,,,,,,,,,,,
KAYA,,KUANTUM,,,,,,,,ACC,,SUNTV,,AXISTECETF,,,,,,,,,,,,,,,,,,,,,,,
ABREL,,SAKUMA,,,,,,,,RITES,,TATAPOWER,,HDFCGROWTH,,,,,,,,,,,,,,,,,,,,,,,
MAXESTATES,,KPITTECH,,,,,,,,CENTRALBK,,HAL,,GOLDBND,,,,,,,,,,,,,,,,,,,,,,,
LAXMIINDIA,,PANACEABIO,,,,,,,,JBCHEPHARM,,SOBHA,,BBNPPGOLD,,,,,,,,,,,,,,,,,,,,,,,
VPRPL,,MASKINVEST,,,,,,,,EIDPARRY,,TMB,,BANKNIFTY1,,,,,,,,,,,,,,,,,,,,,,,
MALUPAPER,,TCS,,,,,,,,SAMMAANCAP,,KFINTECH,,ABSLBANETF,,,,,,,,,,,,,,,,,,,,,,,
SANDUMA,,NUCLEUS,,,,,,,,RPOWER,,UBL,,QGOLDHALF,,,,,,,,,,,,,,,,,,,,,,,
KUANTUM,,KANANIIND,,,,,,,,3MINDIA,,BALRAMCHIN,,BANKBETF,,,,,,,,,,,,,,,,,,,,,,,
GUFICBIO,,MOSCHIP,,,,,,,,UBL,,EPL,,AXISBNKETF,,,,,,,,,,,,,,,,,,,,,,,
TPLPLASTEH,,AXISCADES,,,,,,,,CARBORUNIV,,NBCC,,IVZINGOLD,,,,,,,,,,,,,,,,,,,,,,,
TCS,,CARTRADE,,,,,,,,BRITANNIA,,AFFLE,,BBNPNBETF,,,,,,,,,,,,,,,,,,,,,,,
PRESTIGE,,GREAVESCOT,,,,,,,,TATAPOWER,,NTPC,,SILVERBND,,,,,,,,,,,,,,,,,,,,,,,
ASAL,,UNITEDPOLY,,,,,,,,SAGILITY,,CGCL,,SBIBPB,,,,,,,,,,,,,,,,,,,,,,,
MAJESAUT,,COROMANDEL,,,,,,,,SRF,,BRITANNIA,,PSUBANKADD,,,,,,,,,,,,,,,,,,,,,,,
GKENERGY,,KSL,,,,,,,,ASTERDM,,JBCHEPHARM,,PSUBNKIETF,,,,,,,,,,,,,,,,,,,,,,,
JTLIND,,HLEGLAS,,,,,,,,SWIGGY,,CENTURYPLY,,BANKPSU,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,,DENTA,,,,,,,,YESBANK,,MANYAVAR,,PSUBNKBEES,,,,,,,,,,,,,,,,,,,,,,,
SAKUMA,,DSFCL,,,,,,,,FLUOROCHEM,,FLUOROCHEM,,HDFCPSUBK,,,,,,,,,,,,,,,,,,,,,,,
NGLFINE,,SMARTLINK,,,,,,,,EIHOTEL,,NLCINDIA,,SILVERIETF,,,,,,,,,,,,,,,,,,,,,,,
MASKINVEST,,DAMCAPITAL,,,,,,,,KFINTECH,,DALBHARAT,,MOSILVER,,,,,,,,,,,,,,,,,,,,,,,
NUCLEUS,,PRESTIGE,,,,,,,,NAVA,,ASTERDM,,SILVER,,,,,,,,,,,,,,,,,,,,,,,
KSL,,PARKHOSPS,,,,,,,,HAL,,IRCON,,SILVERBETA,,,,,,,,,,,,,,,,,,,,,,,
HLEGLAS,,PDMJEPAPER,,,,,,,,AFFLE,,360ONE,,SBISILVER,,,,,,,,,,,,,,,,,,,,,,,
GREAVESCOT,,DCMSIL,,,,,,,,ADANIGREEN,,APLLTD,,AXISILVER,,,,,,,,,,,,,,,,,,,,,,,
KANANIIND,,KELLTONTEC,,,,,,,,BALRAMCHIN,,AARTIIND,,SILVERADD,,,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER,,JYOTISTRUC,,,,,,,,KALYANKJIL,,PFC,,SILVERBEES,,,,,,,,,,,,,,,,,,,,,,,
IGL,,RAMCOSYS,,,,,,,,CGCL,,POLICYBZR,,ESILVER,,,,,,,,,,,,,,,,,,,,,,,
PDMJEPAPER,,MAXESTATES,,,,,,,,IRCON,,LICHSGFIN,,SILVER1,,,,,,,,,,,,,,,,,,,,,,,
XELPMOC,,GUJGASLTD,,,,,,,,NTPC,,MAPMYINDIA,,SILVER360,,,,,,,,,,,,,,,,,,,,,,,
UNITEDPOLY,,PAR,,,,,,,,NLCINDIA,,BIKAJI,,SILVERCASE,,,,,,,,,,,,,,,,,,,,,,,
SHK,,BEML,,,,,,,,PFIZER,,CELLO,,TATSILV,,,,,,,,,,,,,,,,,,,,,,,
DSFCL,,TTL,,,,,,,,RAILTEL,,KALYANKJIL,,HDFCSILVER,,,,,,,,,,,,,,,,,,,,,,,
IDEA,,WOCKPHARMA,,,,,,,,ABLBL,,RAILTEL,,SILVERAG,,,,,,,,,,,,,,,,,,,,,,,
NAVINFLUOR,,HINDPETRO,,,,,,,,SHREECEM,,AMBUJACEM,,PSUBANK,,,,,,,,,,,,,,,,,,,,,,,
EMMVEE,,SIGNPOST,,,,,,,,NEULANDLAB,,LAURUSLABS,,,,,,,,,,,,,,,,,,,,,,,,,
NEWGEN,,BHAGCHEM,,,,,,,,TEJASNET,,ABBOTINDIA,,,,,,,,,,,,,,,,,,,,,,,,,
KELLTONTEC,,JAYKAY,,,,,,,,PTCIL,,MAHSEAMLES,,,,,,,,,,,,,,,,,,,,,,,,,
RAMCOSYS,,PLAZACABLE,,,,,,,,LTFOODS,,IRCTC,,,,,,,,,,,,,,,,,,,,,,,,,
DAMCAPITAL,,PEARLPOLY,,,,,,,,ABBOTINDIA,,WIPRO,,,,,,,,,,,,,,,,,,,,,,,,,
GPTHEALTH,,POWERMECH,,,,,,,,MUTHOOTFIN,,GILLETTE,,,,,,,,,,,,,,,,,,,,,,,,,
SKIPPER,,SKIPPER,,,,,,,,MAPMYINDIA,,DMART,,,,,,,,,,,,,,,,,,,,,,,,,
PANACEABIO,,KOLTEPATIL,,,,,,,,AARTIIND,,KRBL,,,,,,,,,,,,,,,,,,,,,,,,,
GUJGASLTD,,ELITECON,,,,,,,,ICICIAMC,,SHREECEM,,,,,,,,,,,,,,,,,,,,,,,,,
PAR,,SPECTRUM,,,,,,,,BIOCON,,TORNTPHARM,,,,,,,,,,,,,,,,,,,,,,,,,
POWERMECH,,JUBLFOOD,,,,,,,,PATANJALI,,GRASIM,,,,,,,,,,,,,,,,,,,,,,,,,
LALPATHLAB,,NEWGEN,,,,,,,,RBLBANK,,TECHM,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,,JGCHEM,,,,,,,,DALBHARAT,,ETERNAL,,,,,,,,,,,,,,,,,,,,,,,,,
WOCKPHARMA,,SHIVALIK,,,,,,,,FSL,,INTELLECT,,,,,,,,,,,,,,,,,,,,,,,,,
JINDRILL,,SEDEMAC,,,,,,,,WIPRO,,ANGELONE,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNPOST,,AGARWALEYE,,,,,,,,GAIL,,TRIDENT,,,,,,,,,,,,,,,,,,,,,,,,,
JAYKAY,,DCMNVL,,,,,,,,KIMS,,GRSE,,,,,,,,,,,,,,,,,,,,,,,,,
UNIECOM,,RAYMOND,,,,,,,,ETERNAL,,IPCALAB,,,,,,,,,,,,,,,,,,,,,,,,,
PLAZACABLE,,IRISDOREME,,,,,,,,TORNTPHARM,,KIMS,,,,,,,,,,,,,,,,,,,,,,,,,
PEARLPOLY,,SAMBHAAV,,,,,,,,DMART,,RBLBANK,,,,,,,,,,,,,,,,,,,,,,,,,
PARKHOSPS,,VESUVIUS,,,,,,,,POLICYBZR,,GAIL,,,,,,,,,,,,,,,,,,,,,,,,,
JYOTISTRUC,,HINDWAREAP,,,,,,,,KPIL,,EIHOTEL,,,,,,,,,,,,,,,,,,,,,,,,,
KOLTEPATIL,,AURIGROW,,,,,,,,BIKAJI,,FSL,,,,,,,,,,,,,,,,,,,,,,,,,
AXISCADES,,YATHARTH,,,,,,,,TEGA,,IOB,,,,,,,,,,,,,,,,,,,,,,,,,
JUBLFOOD,,JINDRILL,,,,,,,,IRCTC,,MGL,,,,,,,,,,,,,,,,,,,,,,,,,
SHIVALIK,,CIEINDIA,,,,,,,,GRASIM,,COROMANDEL,,,,,,,,,,,,,,,,,,,,,,,,,
CARTRADE,,GUJAPOLLO,,,,,,,,BHARTIARTL,,MASTEK,,,,,,,,,,,,,,,,,,,,,,,,,
MOSCHIP,,KILITCH,,,,,,,,TRIDENT,,INFY,,,,,,,,,,,,,,,,,,,,,,,,,
SHALBY,,GOCLCORP,,,,,,,,GILLETTE,,BIOCON,,,,,,,,,,,,,,,,,,,,,,,,,
BEML,,ASIANTILES,,,,,,,,TIINDIA,,TIINDIA,,,,,,,,,,,,,,,,,,,,,,,,,
RAYMOND,,TATVA,,,,,,,,INFY,,CCL,,,,,,,,,,,,,,,,,,,,,,,,,
NLCINDIA,,ARVSMART,,,,,,,,AMBUJACEM,,TEJASNET,,,,,,,,,,,,,,,,,,,,,,,,,
DCMNVL,,APCL,,,,,,,,IGIL,,RCF,,,,,,,,,,,,,,,,,,,,,,,,,
BHAGCHEM,,REPRO,,,,,,,,IRB,,SWANCORP,,,,,,,,,,,,,,,,,,,,,,,,,
IRISDOREME,,WEWORK,,,,,,,,JPPOWER,,BBTC,,,,,,,,,,,,,,,,,,,,,,,,,
SAMBHAAV,,SONATSOFTW,,,,,,,,GLENMARK,,CYIENT,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVCABLES,,JTLIND,,,,,,,,KEC,,JKLAKSHMI,,,,,,,,,,,,,,,,,,,,,,,,,
CIEINDIA,,UNIVCABLES,,,,,,,,USHAMART,,PATANJALI,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANTILES,,EMBDL,,,,,,,,PFC,,FEDERALBNK,,,,,,,,,,,,,,,,,,,,,,,,,
GUJAPOLLO,,FRACTAL,,,,,,,,IPCALAB,,ALIVUS,,,,,,,,,,,,,,,,,,,,,,,,,
KILITCH,,GTLINFRA,,,,,,,,MGL,,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,
AEGISLOG,,PCBL,,,,,,,,SAPPHIRE,,TORNTPOWER,,,,,,,,,,,,,,,,,,,,,,,,,
SONATSOFTW,,ADFFOODS,,,,,,,,CCL,,JUBLPHARMA,,,,,,,,,,,,,,,,,,,,,,,,,
SEDEMAC,,VERANDA,,,,,,,,IOB,,JSL,,,,,,,,,,,,,,,,,,,,,,,,,
ALEMBICLTD,,MANALIPETC,,,,,,,,NETWEB,,GSFC,,,,,,,,,,,,,,,,,,,,,,,,,
GOCLCORP,,TRIGYN,,,,,,,,LENSKART,,CHAMBLFERT,,,,,,,,,,,,,,,,,,,,,,,,,
CUBEXTUB,,THYROCARE,,,,,,,,ZENSARTECH,,IOC,,,,,,,,,,,,,,,,,,,,,,,,,
JGCHEM,,BLUEJET,,,,,,,,LAURUSLABS,,IRB,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPEK,,GPTHEALTH,,,,,,,,SAREGAMA,,USHAMART,,,,,,,,,,,,,,,,,,,,,,,,,
ARVSMART,,SEJALLTD,,,,,,,,ANGELONE,,COCHINSHIP,,,,,,,,,,,,,,,,,,,,,,,,,
AARTIDRUGS,,AEGISLOG,,,,,,,,SWANCORP,,ZENSARTECH,,,,,,,,,,,,,,,,,,,,,,,,,
APCL,,AARTIDRUGS,,,,,,,,GRSE,,INDIANB,,,,,,,,,,,,,,,,,,,,,,,,,
AIAENG,,BECTORFOOD,,,,,,,,TORNTPOWER,,BANKBARODA,,,,,,,,,,,,,,,,,,,,,,,,,
REPRO,,TRANSPEK,,,,,,,,360ONE,,CANBK,,,,,,,,,,,,,,,,,,,,,,,,,
VERANDA,,SHADOWFAX,,,,,,,,IOC,,GLENMARK,,,,,,,,,,,,,,,,,,,,,,,,,
RKSWAMY,,SPLIL,,,,,,,,GRAVITA,,BHARTIARTL,,,,,,,,,,,,,,,,,,,,,,,,,
ELITECON,,MODISONLTD,,,,,,,,ARE&M,,DEEPAKFERT,,,,,,,,,,,,,,,,,,,,,,,,,
FRACTAL,,DELTAMAGNT,,,,,,,,CYIENT,,UJJIVANSFB,,,,,,,,,,,,,,,,,,,,,,,,,
HINDWAREAP,,SURANASOL,,,,,,,,FEDERALBNK,,MPHASIS,,,,,,,,,,,,,,,,,,,,,,,,,
AVG,,AIAENG,,,,,,,,COCHINSHIP,,DEEPAKNTR,,,,,,,,,,,,,,,,,,,,,,,,,
EMBDL,,PYRAMID,,,,,,,,BSOFT,,RTNINDIA,,,,,,,,,,,,,,,,,,,,,,,,,
LTTS,,LOTUSEYE,,,,,,,,KARURVYSYA,,KARURVYSYA,,,,,,,,,,,,,,,,,,,,,,,,,
BLUEJET,,TINNARUBR,,,,,,,,BBTC,,ALOKINDS,,,,,,,,,,,,,,,,,,,,,,,,,
ADFFOODS,,PIONRINV,,,,,,,,TECHM,,MUTHOOTFIN,,,,,,,,,,,,,,,,,,,,,,,,,
MODISONLTD,,CUBEXTUB,,,,,,,,SCI,,SAPPHIRE,,,,,,,,,,,,,,,,,,,,,,,,,
TRIGYN,,MACPOWER,,,,,,,,VMM,,SANOFI,,,,,,,,,,,,,,,,,,,,,,,,,
YATHARTH,,DELTACORP,,,,,,,,NAVINFLUOR,,SUNTECK,,,,,,,,,,,,,,,,,,,,,,,,,
HATSUN,,ACEINTEG,,,,,,,,MPHASIS,,TRITURBINE,,,,,,,,,,,,,,,,,,,,,,,,,
SEJALLTD,,KESORAMIND,,,,,,,,INTELLECT,,TATASTEEL,,,,,,,,,,,,,,,,,,,,,,,,,
DELTACORP,,SURAJLTD,,,,,,,,JSL,,TTML,,,,,,,,,,,,,,,,,,,,,,,,,
THYROCARE,,NITIRAJ,,,,,,,,TTML,,SAIL,,,,,,,,,,,,,,,,,,,,,,,,,
RAJRATAN,,CAPTRUST,,,,,,,,JUBLPHARMA,,NAVINFLUOR,,,,,,,,,,,,,,,,,,,,,,,,,
INOXGREEN,,ALKYLAMINE,,,,,,,,GODIGIT,,ECLERX,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIL,,SCANSTL,,,,,,,,ENRIN,,FINEORG,,,,,,,,,,,,,,,,,,,,,,,,,
AGARWALEYE,,OBCL,,,,,,,,TRITURBINE,,KEC,,,,,,,,,,,,,,,,,,,,,,,,,
PCBL,,FINCABLES,,,,,,,,BANKBARODA,,ACI,,,,,,,,,,,,,,,,,,,,,,,,,
DELTAMAGNT,,NFL,,,,,,,,SAIL,,BEL,,,,,,,,,,,,,,,,,,,,,,,,,
RADHIKAJWE,,BRNL,,,,,,,,CANBK,,SUZLON,,,,,,,,,,,,,,,,,,,,,,,,,
ELGIRUBCO,,MODINATUR,,,,,,,,DEEPAKFERT,,JINDALSTEL,,,,,,,,,,,,,,,,,,,,,,,,,
SURANASOL,,EPIGRAL,,,,,,,,CPPLUS,,NMDC,,,,,,,,,,,,,,,,,,,,,,,,,
DENTA,,PGEL,,,,,,,,CHAMBLFERT,,DIVISLAB,,,,,,,,,,,,,,,,,,,,,,,,,
SHADOWFAX,,GOLDIAM,,,,,,,,NMDC,,FINPIPE,,,,,,,,,,,,,,,,,,,,,,,,,
BECTORFOOD,,SIGMAADV,,,,,,,,CHOLAHLDNG,,SJVN,,,,,,,,,,,,,,,,,,,,,,,,,
PYRAMID,,INDOFARM,,,,,,,,DEEPAKNTR,,ANURAS,,,,,,,,,,,,,,,,,,,,,,,,,
LOTUSEYE,,RAJRATAN,,,,,,,,FINCABLES,,RHIM,,,,,,,,,,,,,,,,,,,,,,,,,
ATUL,,IOC,,,,,,,,IDEA,,CHOLAHLDNG,,,,,,,,,,,,,,,,,,,,,,,,,
TINNARUBR,,RUCHIRA,,,,,,,,SUZLON,,JMFINANCIL,,,,,,,,,,,,,,,,,,,,,,,,,
PIONRINV,,IFGLEXPOR,,,,,,,,INDIANB,,PETRONET,,,,,,,,,,,,,,,,,,,,,,,,,
MACPOWER,,SHRADHA,,,,,,,,RHIM,,IRFC,,,,,,,,,,,,,,,,,,,,,,,,,
ACEINTEG,,LTTS,,,,,,,,DIVISLAB,,SAREGAMA,,,,,,,,,,,,,,,,,,,,,,,,,
VESUVIUS,,WSTCSTPAPR,,,,,,,,COROMANDEL,,IDEA,,,,,,,,,,,,,,,,,,,,,,,,,
SURAJLTD,,OAL,,,,,,,,NIVABUPA,,FINCABLES,,,,,,,,,,,,,,,,,,,,,,,,,
NITIRAJ,,CRAMC,,,,,,,,SJVN,,LXCHEM,,,,,,,,,,,,,,,,,,,,,,,,,
CAPTRUST,,SHALBY,,,,,,,,INDGN,,GNFC,,,,,,,,,,,,,,,,,,,,,,,,,
EPIGRAL,,NIVABUPA,,,,,,,,JINDALSTEL,,PERSISTENT,,,,,,,,,,,,,,,,,,,,,,,,,
SCANSTL,,SILGO,,,,,,,,BEL,,GPPL,,,,,,,,,,,,,,,,,,,,,,,,,
ALKYLAMINE,,ATUL,,,,,,,,TATASTEEL,,NETWORK18,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN,,SYMPHONY,,,,,,,,ABDL,,SBFC,,,,,,,,,,,,,,,,,,,,,,,,,
OBCL,,TMPV,,,,,,,,SYNGENE,,DOMS,,,,,,,,,,,,,,,,,,,,,,,,,
CRAMC,,BOMDYEING,,,,,,,,PETRONET,,ENGINERSIN,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,,FOCUS,,,,,,,,GVT&D,,EASEMYTRIP,,,,,,,,,,,,,,,,,,,,,,,,,
TMPV,,ISFT,,,,,,,,ANURAS,,INDIAMART,,,,,,,,,,,,,,,,,,,,,,,,,
NFL,,INOXGREEN,,,,,,,,IKS,,GMDCLTD,,,,,,,,,,,,,,,,,,,,,,,,,
BRNL,,HPIL,,,,,,,,NUVOCO,,PRAJIND,,,,,,,,,,,,,,,,,,,,,,,,,
MODINATUR,,KIMS,,,,,,,,RECLTD,,POLYMED,,,,,,,,,,,,,,,,,,,,,,,,,
UNIMECH,,MCCHRLS-B,,,,,,,,PERSISTENT,,JUBLINGREA,,,,,,,,,,,,,,,,,,,,,,,,,
WSTCSTPAPR,,WABAG,,,,,,,,DOMS,,RECLTD,,,,,,,,,,,,,,,,,,,,,,,,,
PGEL,,RADHIKAJWE,,,,,,,,J&KBANK,,SYNGENE,,,,,,,,,,,,,,,,,,,,,,,,,
SIGMAADV,,NLCINDIA,,,,,,,,IRFC,,ITI,,,,,,,,,,,,,,,,,,,,,,,,,
RUCHIRA,,WSI,,,,,,,,INDIAMART,,HINDCOPPER,,,,,,,,,,,,,,,,,,,,,,,,,
TARACHAND,,TARACHAND,,,,,,,,HINDCOPPER,,RATNAMANI,,,,,,,,,,,,,,,,,,,,,,,,,
SHRADHA,,ESSARSHPNG,,,,,,,,JMFINANCIL,,J&KBANK,,,,,,,,,,,,,,,,,,,,,,,,,
PATANJALI,,ASHOKAMET,,,,,,,,POLYMED,,SUMICHEM,,,,,,,,,,,,,,,,,,,,,,,,,
PPL,,EIMCOELECO,,,,,,,,ACMESOLAR,,NUVOCO,,,,,,,,,,,,,,,,,,,,,,,,,
BOMDYEING,,RAJOOENG,,,,,,,,ENGINERSIN,,BSOFT,,,,,,,,,,,,,,,,,,,,,,,,,
NIVABUPA,,CELEBRITY,,,,,,,,GMDCLTD,,SHYAMMETL,,,,,,,,,,,,,,,,,,,,,,,,,
OAL,,HLVLTD,,,,,,,,JUBLINGREA,,ZEEL,,,,,,,,,,,,,,,,,,,,,,,,,
GPIL,,VCL,,,,,,,,SPLPETRO,,VGUARD,,,,,,,,,,,,,,,,,,,,,,,,,
KTKBANK,,CAPLIPOINT,,,,,,,,THELEELA,,SONATSOFTW,,,,,,,,,,,,,,,,,,,,,,,,,
SILGO,,POCL,,,,,,,,ITI,,TIMKEN,,,,,,,,,,,,,,,,,,,,,,,,,
TATVA,,HAPPSTMNDS,,,,,,,,ITCHOTELS,,ERIS,,,,,,,,,,,,,,,,,,,,,,,,,
EUREKAFORB,,WIPRO,,,,,,,,ERIS,,GUJGASLTD,,,,,,,,,,,,,,,,,,,,,,,,,
GANDHITUBE,,PLASTIBLEN,,,,,,,,GABRIEL,,HAPPSTMNDS,,,,,,,,,,,,,,,,,,,,,,,,,
JARO,,HMAAGRO,,,,,,,,JSWDULUX,,CASTROLIND,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPSTMNDS,,CENTEXT,,,,,,,,ECLERX,,NAUKRI,,,,,,,,,,,,,,,,,,,,,,,,,
FOCUS,,SIL,,,,,,,,SHYAMMETL,,TITAGARH,,,,,,,,,,,,,,,,,,,,,,,,,
ISFT,,HARSHA,,,,,,,,TITAGARH,,JWL,,,,,,,,,,,,,,,,,,,,,,,,,
HPIL,,GPIL,,,,,,,,FACT,,AJANTPHARM,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,,GODREJPROP,,,,,,,,SONATSOFTW,,SBILIFE,,,,,,,,,,,,,,,,,,,,,,,,,
MCCHRLS-B,,PATANJALI,,,,,,,,PIRAMALFIN,,HEG,,,,,,,,,,,,,,,,,,,,,,,,,
FINCABLES,,KSOLVES,,,,,,,,CASTROLIND,,PRSMJOHNSN,,,,,,,,,,,,,,,,,,,,,,,,,
ACUTAAS,,BALPHARMA,,,,,,,,ANANDRATHI,,FACT,,,,,,,,,,,,,,,,,,,,,,,,,
RPSGVENT,,RPPL,,,,,,,,ZEEL,,WELSPUNLIV,,,,,,,,,,,,,,,,,,,,,,,,,
BGRENERGY,,AEPL,,,,,,,,URBANCO,,JUSTDIAL,,,,,,,,,,,,,,,,,,,,,,,,,
SULA,,RAMASTEEL,,,,,,,,TIMKEN,,ANANDRATHI,,,,,,,,,,,,,,,,,,,,,,,,,
WSI,,CONTROLPR,,,,,,,,SBFC,,GODREJIND,,,,,,,,,,,,,,,,,,,,,,,,,
AQYLON,,VIMTALABS,,,,,,,,PARADEEP,,DATAPATTNS,,,,,,,,,,,,,,,,,,,,,,,,,
ESSARSHPNG,,STYL,,,,,,,,SBILIFE,,ALLCARGO,,,,,,,,,,,,,,,,,,,,,,,,,
ASHOKAMET,,CCHHL,,,,,,,,WELSPUNLIV,,JBMA,,,,,,,,,,,,,,,,,,,,,,,,,
EIMCOELECO,,DAVANGERE,,,,,,,,JBMA,,MRPL,,,,,,,,,,,,,,,,,,,,,,,,,
WABAG,,NGLFINE,,,,,,,,OLAELEC,,AUBANK,,,,,,,,,,,,,,,,,,,,,,,,,
SPMLINFRA,,EUREKAFORB,,,,,,,,NAUKRI,,TVSSCS,,,,,,,,,,,,,,,,,,,,,,,,,
CELEBRITY,,KTKBANK,,,,,,,,AJANTPHARM,,TRIVENI,,,,,,,,,,,,,,,,,,,,,,,,,
HLVLTD,,SANSTAR,,,,,,,,SUMICHEM,,RENUKA,,,,,,,,,,,,,,,,,,,,,,,,,
VCL,,SERVOTECH,,,,,,,,JWL,,JSWINFRA,,,,,,,,,,,,,,,,,,,,,,,,,
PLASTIBLEN,,LENSKART,,,,,,,,GODREJIND,,APLAPOLLO,,,,,,,,,,,,,,,,,,,,,,,,,
HMAAGRO,,TREJHARA,,,,,,,,AUBANK,,CHENNPETRO,,,,,,,,,,,,,,,,,,,,,,,,,
RAJOOENG,,ARCHIES,,,,,,,,HEG,,SWSOLAR,,,,,,,,,,,,,,,,,,,,,,,,,
CENTEXT,,UNIECOM,,,,,,,,MRPL,,BALAMINES,,,,,,,,,,,,,,,,,,,,,,,,,
WEWORK,,SURANAT&P,,,,,,,,JSWINFRA,,MFSL,,,,,,,,,,,,,,,,,,,,,,,,,
HARSHA,,BHARATRAS,,,,,,,,CHENNPETRO,,SUNDARMFIN,,,,,,,,,,,,,,,,,,,,,,,,,
WIPRO,,SURYALA,,,,,,,,SUNDARMFIN,,IIFL,,,,,,,,,,,,,,,,,,,,,,,,,
SERVOTECH,,CRIZAC,,,,,,,,NIACL,,OIL,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEINDIA,,ADSL,,,,,,,,APLAPOLLO,,NSLNISP,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDIAM,,RPPINFRA,,,,,,,,JYOTICNC,,OLECTRA,,,,,,,,,,,,,,,,,,,,,,,,,
BALPHARMA,,VINNY,,,,,,,,SIGNATURE,,ZFCVINDIA,,,,,,,,,,,,,,,,,,,,,,,,,
AEPL,,BPCL,,,,,,,,OIL,,GRAPHITE,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROLPR,,PPL,,,,,,,,MEESHO,,COHANCE,,,,,,,,,,,,,,,,,,,,,,,,,
VIMTALABS,,PAGEIND,,,,,,,,MANAPPURAM,,RAYMOND,,,,,,,,,,,,,,,,,,,,,,,,,
CMSINFO,,PWL,,,,,,,,NSLNISP,,MANAPPURAM,,,,,,,,,,,,,,,,,,,,,,,,,
